R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R50,R51
-0.0228873,0.004482,-0.0658163,-0.0471204,-0.04691,-0.009831933,-0.0068917,-0.00574,-0.0569527,-0.0228084,0.08566618,-0.0351625,0.006126835,-0.0176147,0.023215,-0.0139405,0.008571,-0.0157769,-0.02854,-0.0219705,-0.0112868,-0.1061701,-0.0154758,-0.0008603,-0.0269,0.0061233,-0.0095624,0.03278689,-0.0245381,-0.0296589,-0.01912,-0.0718286,-0.0281009,-0.0544985,0.08668921,-0.0393273,-0.01673,-0.0285383,-0.0622407,0.05234834,-0.141186,0.00991049,-0.0267114,-0.0303915,-0.0049123,-0.03541,-0.017945037,0,-0.0239726,-0.01232,-0.0552931
0.01261261,-0.00556,0.06062261,0.03846154,-0.04754,0.018416363,1.52E-05,0.00522,-0.0029412,0.01675378,-0.0500194,-0.0011044,-0.022176778,0.00412075,0.018085,-0.029255,-0.02975,0.01224205,0.002388,0.01488899,0.03127627,-0.0077736,-0.0007368,0.02533825,0.074349,-0.0190853,0.00783595,-0.0285714,0.02616031,0.00095794,-0.00021,-0.048835,-0.0097933,-0.0071623,0.13182461,0.0424738,0.03227,0.00238834,0.02976669,-0.0934449,-0.0028182,0.01101614,0.01222222,-0.0143717,0.00438805,0.001577,-0.031533883,0.02884615,0.01052632,-0.01232,-0.0061765
0.02313167,0.014975,0.06256437,0.03703704,0.052261,0.016333333,0.00832576,0.011167,0.04798427,0.0392754,0.03653061,0.03206191,0.028860901,0.00248049,-0.01537,-0.0144581,0.01673,-0.0199371,0.082678,0.00489019,-0.0239506,0.10560953,0.02261276,-0.0197937,0.008774,0.03132341,0.00039101,0.00980392,-0.0117525,-0.0018907,0.00445,0.17147389,0.02433281,0.04259705,0.0716071,0.00426383,-0.0115,0.0826781,0.07421875,0.05128205,0.15167216,-0.0024422,0.00658617,0.05790862,0.00263346,0.004329,-0.002695418,-0.0186916,0.03125,-0.01232,0.03906481
-0.0104348,0.003961,-0.0092077,-0.0306122,0.052455,-0.016726796,-0.0086552,0.02854,-0.0476637,0.0034217,0.01201024,0.02892341,-0.032116722,-0.0114649,0.026045,-0.0400095,0.00504,0.00543694,0.024208,0.0110134,-0.0013364,0.0473356,-0.0137003,0.01333986,0.002639,0.0486537,0.00387847,-0.0291262,0.01801856,0.00471469,-0.01477,0.04297463,0.02038314,0.00790774,-0.0289213,-0.0472272,-0.01735,0.02420775,0.05454545,0,0.2404908,0.00257376,0.01166848,0.08361775,-0.0002179,0.000416,0.010378378,0.00952381,0.003367,-0.01232,-0.0293364
0.00175747,0.01664,-0.0168745,0.02631579,-0.04666,0.034022682,0.01824975,-0.00146,-0.0189163,-0.0303864,-0.0389105,0.05205622,0.031035609,0.03761123,0.006394,0.03447035,0.031458,-0.0126682,-0.06124,0.02178686,0.00345706,-0.0048714,0.04654563,-0.0072464,-0.02992,-0.070235,0.0257566,0.07,0.02062008,0.01812316,0.027837,0.07692678,0.00555722,0.03530566,0.2585565,0.00143038,0.018132,-0.0612376,-0.0413793,0,0.02209034,0.02654812,0.01077935,-0.038401,-0.0096852,0.018435,0.029210357,0,0.10738255,-0.01232,0.00674883
-0.0315789,-0.00225,0.02835821,0.02564103,-0.01112,-0.003870968,-0.012013,0.007832,0.01425989,0.03215697,0.01255061,-0.0173182,0.000497918,0.0030817,0.036658,-0.0047842,0.003754,0.00015385,0.032959,-0.0176033,-0.0325437,-0.0010878,0.00977995,0.01094891,-0.00603,-0.0034745,0.00986876,-0.0031153,-0.0004046,-0.0079606,0.145833,0.00263405,0.00955937,0.07388696,-0.1196565,-0.0101632,-0.0114,0.03295949,-0.0863309,0.02390244,-0.0409677,0.01842025,0.00623867,-0.0006299,0.01226161,-0.01344,0.003222788,0.02830189,0.02121212,-0.01232,0.01282425
-0.0072464,-0.04183,0.03386551,-0.045,-0.02756,0.00671956,0.00495702,-0.01313,0.02178218,-0.023632,0.02159136,0.01510574,-0.005564855,-0.0146057,-0.03787,-0.0120482,-0.00431,-0.0325488,-0.03545,0.03499621,-0.013957,0.00272257,0.01867866,0.00120337,-0.00323,0.00372708,-0.0306469,-0.040625,-0.0094842,-0.0275166,-0.13455,-0.0451509,-0.0038467,-0.0446927,-0.1307175,0.06576757,-0.02997,-0.0354531,0.02362205,0,0.02354524,-0.0061089,-0.0048222,0.00088239,-0.0338514,-0.01316,-0.015958549,0.00917431,-0.0264095,-0.01232,0.0094964
0.02472628,-0.00535,-0.016846,0.11518325,-0.04569,0.01190189,0.0337034,0.034813,-0.0056202,0.00202132,-0.0172211,0.03918651,-0.027252047,-0.0034117,0.04529,-0.0426829,-0.01752,0.0070913,0.061337,-0.0297488,-0.0062521,0.06462123,0.00464063,0.02163462,-0.00933,-0.0282087,0.00747148,-0.0325733,-0.0237331,0.00951704,0.028782,-0.0440216,0.00341601,0.00461681,0.09314214,0.02072593,-0.01765,0.06133701,0.05230769,0,-0.042721,-0.0732148,0.00319489,-0.0026448,-0.0066,0.012346,0.067818029,-0.0090909,-0.0003048,-0.01232,0.02651083
0.00792449,0.007926,0.0328415,-0.0328638,-0.04727,0.023841691,-0.0218572,0.027816,0.00993958,-0.0124828,0.02787734,0.00954654,0.008325148,0.00388491,0.034186,0.03694268,0.019085,0.00094727,0.011688,0.0258859,0.00425939,-0.0058659,0.00236593,0.00941176,0.014945,0.01072353,0.01540944,0.02020202,-0.0090602,-0.0036526,-0.04023,0.02336585,-0.0389284,0.00582108,0.11109844,0.017193,0.003837,0.01168831,0.06761696,-0.0943306,-0.1143151,-0.0195059,-0.0585987,-0.0090921,-0.0285887,-0.02344,0.056903353,0.05504587,0.09146341,-0.01232,0.00416551
0.00706714,0.04466,-0.0029954,0.04854369,-0.0229,-0.006442599,0.01867572,0.004706,-0.0351216,0.02486207,-0.0116234,0.00898345,-0.016791131,-0.0189662,0.024925,-0.014742,0.029441,-0.0072555,-0.01605,0.02678426,-0.0150587,-0.0597742,-0.0034843,-0.020979,0.031669,0.01591463,0.01865971,-0.0132013,0,-0.0363915,-0.02553,0.03031603,-0.0117049,-0.004569,0.24997434,0.03189889,0.004258,-0.0160462,0.02362205,0.05207785,0.02635659,0.0316313,0.01702751,0.00382312,-0.0113472,0.002597,0.000279929,-0.0434783,0.08379888,-0.01232,-0.0293142
